id,sitzung,wahlperiode,in_writing,sequence,text,speaker_cleaned,speaker_fp,filename,speaker,speaker_party,type
28949,7,17,0,931,Als Letzter in der Debatte spricht der Kollege Frank Heinrich für die CDU/CSU-Fraktion.,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
28951,7,17,0,933,,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
28974,7,17,0,956,"Herr Heinrich, das war Ihre erste Rede im Hohen Haus, wozu ich Sie herzlich beglückwünsche. Für Ihre Arbeit hier wünsche ich Ihnen im Namen des gesamten Hauses viel Erfolg und auch Gottes Segen.",Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
28976,7,17,0,958,"Interfraktionell wird Überweisung des Gesetzentwurfes auf Drucksache 17/20 an die in der Tagesordnung aufgeführten Ausschüsse vorgeschlagen. - Dazu gibt es offensichtlich keine anderen Vorschläge. Dann ist die Überweisung so beschlossen.

Ich rufe jetzt den Tagesordnungspunkt 5 auf:

Wahl der Schriftführer gemäß § 3 der Geschäftsordnung

- Drucksache 17/58 -

Für die Wahl der Schriftführerinnen und Schriftführer liegen auf Drucksache 17/58 Wahlvorschläge der Frak-tionen CDU/CSU, SPD, FDP, Die Linke und Bünd-nis 90/Die Grünen vor. Ich frage Sie: Wer stimmt für diese Wahlvorschläge? - Wer stimmt dagegen? - Enthaltungen? - Damit sind diese Wahlvorschläge einstimmig angenommen. Ich gratuliere den gewählten Kolleginnen und Kollegen im Namen des gesamten Hauses, freue mich auf die Zusammenarbeit und danke gleichzeitig den vorläufigen Schriftführerinnen und Schriftführern dieser Legislaturperiode für ihren unermüdlichen Einsatz.",Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
28978,7,17,0,960,"Ich rufe jetzt den Zusatzpunkt 2 auf:

Aktuelle Stunde

auf Verlangen der Fraktion Die Linke

Bildung für alle - Gebührenfrei

Als erste Rednerin spricht Nicole Gohlke für die Fraktion Die Linke.",Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
28980,7,17,0,962,,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
29003,7,17,0,985,"Frau Gohlke, auch für Sie war das die erste Rede, zu der wir Sie herzlich beglückwünschen und Ihnen alles Gute für die Arbeit hier im Haus wünschen.",Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
29005,7,17,0,987,Das Wort hat der Kollege Michael Kretschmer für die CDU/CSU-Fraktion.,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
29007,7,17,0,989,,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
29027,7,17,0,1009,Für die SPD-Fraktion spricht die Kollegin Ulla Burchardt.,Katrin Göring-Eckardt,Katrin Göring-Eckardt,data/txt/17007.txt,Vizepräsidentin Katrin Göring-Eckardt,<null>,chair
