nachname;vorname;partei;website;feed;fullname;wikidataq;wikidataurl;wikidataname;distance;wikidatawebsite;distance
Kruse;Rüdiger;CDU;http://www.ruedigerkruse.de;1;Rüdiger Kruse;Q121230;https://www.wikidata.org/wiki/Q121230;Rüdiger Kruse;0;http://www.ruedigerkruse.de/;0
Kudla;Bettina;CDU;http://www.bettinakudla.de;1;Bettina Kudla;Q850005;https://www.wikidata.org/wiki/Q850005;Bettina Kudla;0;http://www.bettinakudla.de/;0
Kühn;Christian;GRÜNE;http://chriskuehn.de;1;Christian Kühn;Q106938;https://www.wikidata.org/wiki/Q106938;Christian Kühn;0;http://chriskuehn.de/;0
Kühn;Stephan;GRÜNE;http://www.stephankuehn.com;;Stephan Kühn;Q1239215;https://www.wikidata.org/wiki/Q1239215;Stephan Kühn;0;http://www.stephankuehn.com/;0
Kühn-Mengel;Helga;SPD;http://www.xn--helgakhnmengel-lsb.de;1;Helga Kühn-Mengel;Q1378589;https://www.wikidata.org/wiki/Q1378589;Helga Kühn-Mengel;0;http://www.xn--helgakhnmengel-lsb.de;0
Kühne;Roy;CDU;http://www.dr-roy-kuehne.de;1;Roy Kühne;Q15813206;https://www.wikidata.org/wiki/Q15813206;Roy Kühne;0;http://www.dr-roy-kuehne.de/;0
Künast;Renate;GRÜNE;http://www.renate-kuenast.de;;Renate Künast;Q65128;https://www.wikidata.org/wiki/Q65128;Renate Künast;0;http://www.renate-kuenast.de/;0
Kunert;Katrin;DIE LINKE;http://www.katrin-kunert.com;;Katrin Kunert;Q1736723;https://www.wikidata.org/wiki/Q1736723;Katrin Kunert;0;http://www.katrin-kunert.com/;0
Kurth;Markus;GRÜNE;http://www.markus-kurth.de;;Markus Kurth;Q1901650;https://www.wikidata.org/wiki/Q1901650;Markus Kurth;0;http://www.markus-kurth.de/;0
Lach;Günter;CDU;http://www.guenter-lach.de;;Günter Lach;Q1560738;https://www.wikidata.org/wiki/Q1560738;Günter Lach;0;http://www.guenter-lach.de/;0
Lagosky;Uwe;CDU;http://www.uwe-lagosky.de;1;Uwe Lagosky;Q15010789;https://www.wikidata.org/wiki/Q15010789;Uwe Lagosky;0;http://www.uwe-lagosky.de/;0
Lambrecht;Christine;SPD;http://www.christine-lambrecht.de;;Christine Lambrecht;Q1083648;https://www.wikidata.org/wiki/Q1083648;Christine Lambrecht;0;http://www.christine-lambrecht.de/;0
Lamers;Karl A.;CDU;http://karl-lamers.de;;Karl A. Lamers;Q118715;https://www.wikidata.org/wiki/Q118715;Karl A. Lamers;0;http://karl-lamers.de/;0
Lämmel;Andreas;CDU;http://www.andreas-laemmel.de;1;Andreas Lämmel;Q499373;https://www.wikidata.org/wiki/Q499373;Andreas Lämmel;0;http://www.andreas-laemmel.de/;0
Lammert;Norbert;CDU;http://www.norbert-lammert.de;;Norbert Lammert;Q57474;https://www.wikidata.org/wiki/Q57474;Norbert Lammert;0;http://www.norbert-lammert.de/;0
Landgraf;Katharina;CDU;http://www.katharina-landgraf.de;;Katharina Landgraf;Q1735942;https://www.wikidata.org/wiki/Q1735942;Katharina Landgraf;0;http://www.katharina-landgraf.de/;0
Lange;Christian;SPD;http://www.lange-spd.de;;Christian Lange;Q1080751;https://www.wikidata.org/wiki/Q1080751;Christian Lange;0;http://www.lange-spd.de/;0
Lange;Ulrich;CSU;http://www.ulrich-lange.info;;Ulrich Lange;Q2476246;https://www.wikidata.org/wiki/Q2476246;Ulrich Lange;0;http://www.ulrich-lange.info/;0
Lanzinger;Barbara;CSU;http://www.barbara-lanzinger.de;;Barbara Lanzinger;Q807527;https://www.wikidata.org/wiki/Q807527;Barbara Lanzinger;0;http://www.barbara-lanzinger.de/;0
Launert;Silke;CSU;http://www.silke-launert.de;1;Silke Launert;Q15644592;https://www.wikidata.org/wiki/Q15644592;Silke Launert;0;http://www.silke-launert.de;0
Lauterbach;Karl;SPD;http://www.karllauterbach.de;;Karl Lauterbach;Q105676;https://www.wikidata.org/wiki/Q105676;Karl Lauterbach;0;http://www.karllauterbach.de/;0
Lay;Caren;DIE LINKE;http://www.caren-lay.de;;Caren Lay;Q1035894;https://www.wikidata.org/wiki/Q1035894;Caren Lay;0;http://www.caren-lay.de/;0
Lazar;Monika;GRÜNE;http://www.monika-lazar.de;1;Monika Lazar;Q1944684;https://www.wikidata.org/wiki/Q1944684;Monika Lazar;0;http://www.monika-lazar.de/;0
Lehrieder;Paul;CSU;http://www.paul-lehrieder.de;1;Paul Lehrieder;Q2060929;https://www.wikidata.org/wiki/Q2060929;Paul Lehrieder;0;http://www.paul-lehrieder.de/;0
Leidig;Sabine;DIE LINKE;http://www.sabine-leidig.de;;Sabine Leidig;Q1649275;https://www.wikidata.org/wiki/Q1649275;Sabine Leidig;0;http://www.sabine-leidig.de/;0
Leikert;Katja;CDU;https://katja-leikert.com;1;Katja Leikert;Q15434284;https://www.wikidata.org/wiki/Q15434284;Katja Leikert;0;https://katja-leikert.com;0
Lemke;Steffi;GRÜNE;https://steffi-lemke.de;1;Steffi Lemke;Q1502854;https://www.wikidata.org/wiki/Q1502854;Steffi Lemke;0;https://steffi-lemke.de/;0
Lemme;Steffen-Claudio;SPD;http://www.steffen-lemme.de;;Steffen-Claudio Lemme;Q2338529;https://www.wikidata.org/wiki/Q2338529;Steffen-Claudio Lemme;0;http://www.steffen-lemme.de/;0
Lengsfeld;Philipp;CDU;http://www.lengsfeld-mitte.de;;Philipp Lengsfeld;Q15439343;https://www.wikidata.org/wiki/Q15439343;Philipp Lengsfeld;0;http://www.lengsfeld-mitte.de/;0
Lenkert;Ralph;DIE LINKE;http://www.ralph-lenkert.de;;Ralph Lenkert;Q1759589;https://www.wikidata.org/wiki/Q1759589;Ralph Lenkert;0;http://www.ralph-lenkert.de/;0
Lenz;Andreas;CSU;http://www.andreas-lenz.info;;Andreas Lenz;Q15783327;https://www.wikidata.org/wiki/Q15783327;Andreas Lenz;0;http://www.andreas-lenz.info/;0
Leutert;Michael;DIE LINKE;http://www.michael-leutert.de;;Michael Leutert;Q16433;https://www.wikidata.org/wiki/Q16433;Michael Leutert;0;http://www.michael-leutert.de/;0
Lezius;Antje;CDU;http://www.antje-lezius.de;;Antje Lezius;Q15783644;https://www.wikidata.org/wiki/Q15783644;Antje Lezius;0;http://www.antje-lezius.de/;0
Liebich;Stefan;DIE LINKE;http://www.stefan-liebich.de;;Stefan Liebich;Q2336956;https://www.wikidata.org/wiki/Q2336956;Stefan Liebich;0;http://www.stefan-liebich.de/;0
Liebing;Ingbert;CDU;http://www.ingbert-liebing.de;;Ingbert Liebing;Q105355;https://www.wikidata.org/wiki/Q105355;Ingbert Liebing;0;http://www.ingbert-liebing.de/;0
Lietz;Matthias;CDU;http://www.matthias-lietz.de;1;Matthias Lietz;Q1910110;https://www.wikidata.org/wiki/Q1910110;Matthias Lietz;0;http://www.matthias-lietz.de/;0
Lindholz;Andrea;CSU;http://www.lindholz.de;1;Andrea Lindholz;Q15644594;https://www.wikidata.org/wiki/Q15644594;Andrea Lindholz;0;http://www.lindholz.de/;0
Lindner;Tobias;GRÜNE;http://www.tobias-lindner.de;;Tobias Lindner;Q2437890;https://www.wikidata.org/wiki/Q2437890;Tobias Lindner;0;http://www.tobias-lindner.de/;0
Linnemann;Carsten;CDU;http://www.carsten-linnemann.de;;Carsten Linnemann;Q1045606;https://www.wikidata.org/wiki/Q1045606;Carsten Linnemann;0;http://www.carsten-linnemann.de/;0
Lips;Patricia;CDU;https://www.patricia-lips.de;;Patricia Lips;Q2057218;https://www.wikidata.org/wiki/Q2057218;Patricia Lips;0;https://www.patricia-lips.de/;0
Lischka;Burkhard;SPD;http://www.burkhard-lischka.de;1;Burkhard Lischka;Q1016467;https://www.wikidata.org/wiki/Q1016467;Burkhard Lischka;0;http://www.burkhard-lischka.de/;0
Lorenz;Wilfried;CDU;http://www.lorenz-cdu.de;;Wilfried Lorenz;Q15854424;https://www.wikidata.org/wiki/Q15854424;Wilfried Lorenz;0;http://www.lorenz-cdu.de;0
Lösekrug-Möller;Gabriele;SPD;http://gabriele-loesekrug-moeller.de;1;Gabriele Lösekrug-Möller;Q124055;https://www.wikidata.org/wiki/Q124055;Gabriele Lösekrug-Möller;0;http://gabriele-loesekrug-moeller.de/;0
Lotze;Hiltrud;SPD;http://hiltrud-lotze.de;1;Hiltrud Lotze;Q15813172;https://www.wikidata.org/wiki/Q15813172;Hiltrud Lotze;0;http://hiltrud-lotze.de/;0
Lötzsch;Gesine;DIE LINKE;http://www.gesine-loetzsch.de;;Gesine Lötzsch;Q65114;https://www.wikidata.org/wiki/Q65114;Gesine Lötzsch;0;http://www.gesine-loetzsch.de/;0
Lücking-Michel;Claudia;CDU;http://www.luecking-michel.de;1;Claudia Lücking-Michel;Q15435489;https://www.wikidata.org/wiki/Q15435489;Claudia Lücking-Michel;0;http://www.luecking-michel.de/;0
Luczak;Jan-Marco;CDU;http://www.luczak-berlin.de;;Jan-Marco Luczak;Q96427;https://www.wikidata.org/wiki/Q96427;Jan-Marco Luczak;0;http://www.luczak-berlin.de/;0
Ludwig;Daniela;CSU;http://www.daniela-ludwig.de;1;Daniela Ludwig;Q1163474;https://www.wikidata.org/wiki/Q1163474;Daniela Ludwig;0;http://www.daniela-ludwig.de/;0
Lühmann;Kirsten;SPD;http://kirsten-luehmann.de;1;Kirsten Lühmann;Q108173;https://www.wikidata.org/wiki/Q108173;Kirsten Lühmann;0;http://kirsten-luehmann.de/;0
Lutze;Thomas;DIE LINKE;http://www.thomas-lutze.de;;Thomas Lutze;Q2425894;https://www.wikidata.org/wiki/Q2425894;Thomas Lutze;0;http://www.thomas-lutze.de/;0
Maag;Karin;CDU;https://www.karin-maag.de;;Karin Maag;Q1729500;https://www.wikidata.org/wiki/Q1729500;Karin Maag;0;https://www.karin-maag.de/;0
Magwas;Yvonne;CDU;http://magwas.de;1;Yvonne Magwas;Q15647562;https://www.wikidata.org/wiki/Q15647562;Yvonne Magwas;0;http://magwas.de/;0
Mahlberg;Thomas;CDU;http://www.thomas-mahlberg.de;;Thomas Mahlberg;Q1623097;https://www.wikidata.org/wiki/Q1623097;Thomas Mahlberg;0;http://www.thomas-mahlberg.de/;0
Maisch;Nicole;GRÜNE;http://www.nicolemaisch.de;1;Nicole Maisch;Q1438177;https://www.wikidata.org/wiki/Q1438177;Nicole Maisch;0;http://www.nicolemaisch.de/;0
Malecha-Nissen;Birgit;SPD;http://malecha-nissen.de;1;Birgit Malecha-Nissen;Q15788746;https://www.wikidata.org/wiki/Q15788746;Birgit Malecha-Nissen;0;http://malecha-nissen.de/;0
Manderla;Gisela;CDU;http://gisela-manderla.de;1;Gisela Manderla;Q15812348;https://www.wikidata.org/wiki/Q15812348;Gisela Manderla;0;http://gisela-manderla.de/;0
Marks;Caren;SPD;http://www.caren-marks.de;1;Caren Marks;Q1035897;https://www.wikidata.org/wiki/Q1035897;Caren Marks;0;http://www.caren-marks.de/;0
Mast;Katja;SPD;http://www.katja-mast.de;1;Katja Mast;Q1736645;https://www.wikidata.org/wiki/Q1736645;Katja Mast;0;http://www.katja-mast.de/;0
Mattfeldt;Andreas;CDU;http://www.andreas-mattfeldt.de;1;Andreas Mattfeldt;Q499449;https://www.wikidata.org/wiki/Q499449;Andreas Mattfeldt;0;http://www.andreas-mattfeldt.de/;0
Mattheis;Hilde;SPD;http://www.hilde-mattheis.de;1;Hilde Mattheis;Q1411688;https://www.wikidata.org/wiki/Q1411688;Hilde Mattheis;0;http://www.hilde-mattheis.de/;0
Mayer;Stephan;CSU;http://www.mayerstephan.de;1;Stephan Mayer;Q1648387;https://www.wikidata.org/wiki/Q1648387;Stephan Mayer;0;http://www.mayerstephan.de/;0
Meier;Reiner;CSU;http://www.reiner-meier.com;;Reiner Meier;Q15813209;https://www.wikidata.org/wiki/Q15813209;Reiner Meier;0;http://www.reiner-meier.com;0
Meister;Michael;CDU;http://www.meister-schafft.de;1;Michael Meister;Q103523;https://www.wikidata.org/wiki/Q103523;Michael Meister;0;http://www.meister-schafft.de/;0
Meiwald;Peter;GRÜNE;http://www.peter-meiwald.de;1;Peter Meiwald;Q15840112;https://www.wikidata.org/wiki/Q15840112;Peter Meiwald;0;http://www.peter-meiwald.de;0
Menz;Birgit;DIE LINKE;http://www.birgit-menz.de;;Birgit Menz;Q19758044;https://www.wikidata.org/wiki/Q19758044;Birgit Menz;0;http://www.birgit-menz.de;0
Merkel;Angela;CDU;https://www.angela-merkel.de;;Angela Merkel;Q567;https://www.wikidata.org/wiki/Q567;Angela Merkel;0;https://www.angela-merkel.de/;0
Metzler;Jan;CDU;http://www.janmetzler.de;;Jan Metzler;Q15230330;https://www.wikidata.org/wiki/Q15230330;Jan Metzler;0;http://www.janmetzler.de/;0
Michalk;Maria;CDU;http://www.maria-michalk.de;;Maria Michalk;Q77766;https://www.wikidata.org/wiki/Q77766;Maria Michalk;0;http://www.maria-michalk.de/;0
Michelbach;Hans;CSU;http://www.hans-michelbach.de;1;Hans Michelbach;Q1581364;https://www.wikidata.org/wiki/Q1581364;Hans Michelbach;0;http://www.hans-michelbach.de/;0
Middelberg;Mathias;CDU;http://mathias-middelberg.de;1;Mathias Middelberg;Q1908516;https://www.wikidata.org/wiki/Q1908516;Mathias Middelberg;0;http://mathias-middelberg.de/;0
Miersch;Matthias;SPD;http://matthias-miersch.de;1;Matthias Miersch;Q1910150;https://www.wikidata.org/wiki/Q1910150;Matthias Miersch;0;http://matthias-miersch.de/;0
Mihalic;Irene;GRÜNE;http://irene-mihalic.de;;Irene Mihalic;Q15433827;https://www.wikidata.org/wiki/Q15433827;Irene Mihalic;0;http://irene-mihalic.de/;0
Mindrup;Klaus;SPD;http://www.klaus-mindrup.de;;Klaus Mindrup;Q15813142;https://www.wikidata.org/wiki/Q15813142;Klaus Mindrup;0;http://www.klaus-mindrup.de/;0
Mittag;Susanne;SPD;http://susanne-mittag.info;1;Susanne Mittag;Q15813113;https://www.wikidata.org/wiki/Q15813113;Susanne Mittag;0;http://susanne-mittag.info/;0
Möhring;Cornelia;DIE LINKE;http://www.cornelia-moehring.de;;Cornelia Möhring;Q1133381;https://www.wikidata.org/wiki/Q1133381;Cornelia Möhring;0;http://www.cornelia-moehring.de/;0
Monstadt;Dietrich;CDU;https://www.dietrichmonstadt.de;1;Dietrich Monstadt;Q1223955;https://www.wikidata.org/wiki/Q1223955;Dietrich Monstadt;0;https://www.dietrichmonstadt.de;0
Möring;Karsten;CDU;http://www.karsten-moering.de;;Karsten Möring;Q15008648;https://www.wikidata.org/wiki/Q15008648;Karsten Möring;0;http://www.karsten-moering.de/;0
Mortler;Marlene;CSU;http://www.marlenemortler.de;1;Marlene Mortler;Q114033;https://www.wikidata.org/wiki/Q114033;Marlene Mortler;0;http://www.marlenemortler.de/;0
Motschmann;Elisabeth;CDU;http://www.elisabethmotschmann.de;;Elisabeth Motschmann;Q1329839;https://www.wikidata.org/wiki/Q1329839;Elisabeth Motschmann;0;http://www.elisabethmotschmann.de/;0
Movassat;Niema;DIE LINKE;https://www.movassat.de;;Niema Movassat;Q1989055;https://www.wikidata.org/wiki/Q1989055;Niema Movassat;0;https://www.movassat.de/;0
Müller;Carsten;CDU;http://www.carsten-mueller.com;1;Carsten Müller;Q111620;https://www.wikidata.org/wiki/Q111620;Carsten Müller;0;http://www.carsten-mueller.com;0
Müller;Norbert;DIE LINKE;http://www.norbert-mueller.net;;Norbert Müller;Q15263649;https://www.wikidata.org/wiki/Q15263649;Norbert Müller;0;http://www.norbert-mueller.net;0
Müller;Detlef;SPD;http://www.spd-mueller.de;1;Detlef Müller;Q1201319;https://www.wikidata.org/wiki/Q1201319;Detlef Müller;0;http://www.spd-mueller.de;0
Müller;Stefan;CSU;http://www.stefanmueller.com;;Stefan Müller;Q2337183;https://www.wikidata.org/wiki/Q2337183;Stefan Müller;0;http://www.stefanmueller.com/;0
Müller;Gerd;CSU;https://www.gerd-mueller.de;1;Gerd Müller;Q85516;https://www.wikidata.org/wiki/Q85516;Gerd Müller;0;https://www.gerd-mueller.de/;0
Müller;Bettina;SPD;https://www.muellerbettina.com;;Bettina Müller;Q15792684;https://www.wikidata.org/wiki/Q15792684;Bettina Müller;0;https://www.muellerbettina.com/;0
Müller-Gemmeke;Beate;GRÜNE;http://www.mueller-gemmeke.de;1;Beate Müller-Gemmeke;Q813168;https://www.wikidata.org/wiki/Q813168;Beate Müller-Gemmeke;0;http://www.mueller-gemmeke.de/;0
Müntefering;Michelle;SPD;http://michelle-muentefering.de;;Michelle Müntefering;Q1404562;https://www.wikidata.org/wiki/Q1404562;Michelle Müntefering;0;http://michelle-muentefering.de/;0
Murmann;Philipp;CDU;http://www.philipp-murmann.de;;Philipp Murmann;Q2087072;https://www.wikidata.org/wiki/Q2087072;Philipp Murmann;0;http://www.philipp-murmann.de/;0
Mutlu;Özcan;GRÜNE;http://www.mutlu.de;1;Özcan Mutlu;Q77685;https://www.wikidata.org/wiki/Q77685;Özcan Mutlu;0;http://www.mutlu.de/;0
Mützenich;Rolf;SPD;https://www.rolfmuetzenich.de;;Rolf Mützenich;Q2163668;https://www.wikidata.org/wiki/Q2163668;Rolf Mützenich;0;https://www.rolfmuetzenich.de/;0
Nahles;Andrea;SPD;https://www.andrea-nahles.de;1;Andrea Nahles;Q62810;https://www.wikidata.org/wiki/Q62810;Andrea Nahles;0;https://www.andrea-nahles.de/;0
Neu;Alexander;DIE LINKE;http://neu-alexander.de;1;Alexander Neu;Q15434455;https://www.wikidata.org/wiki/Q15434455;Alexander Neu;0;http://neu-alexander.de/;0
Nick;Andreas;CDU;http://www.dr-andreas-nick.de;;Andreas Nick;Q15272462;https://www.wikidata.org/wiki/Q15272462;Andreas Nick;0;http://www.dr-andreas-nick.de/;0
Nietan;Dietmar;SPD;http://www.dietmar-nietan.de;1;Dietmar Nietan;Q1223498;https://www.wikidata.org/wiki/Q1223498;Dietmar Nietan;0;http://www.dietmar-nietan.de/;0
Nissen;Ulli;SPD;http://www.ulli-nissen.de;1;Ulli Nissen;Q15120341;https://www.wikidata.org/wiki/Q15120341;Ulli Nissen;0;http://www.ulli-nissen.de/;0
Noll;Michaela;CDU;http://www.michaela-noll.de;1;Michaela Noll;Q1562647;https://www.wikidata.org/wiki/Q1562647;Michaela Noll;0;http://www.michaela-noll.de/;0
Nord;Thomas;DIE LINKE;http://www.thomas-nord.de;;Thomas Nord;Q111187;https://www.wikidata.org/wiki/Q111187;Thomas Nord;0;http://www.thomas-nord.de/;0
Nouripour;Omid;GRÜNE;http://www.nouripour.de;1;Omid Nouripour;Q71635;https://www.wikidata.org/wiki/Q71635;Omid Nouripour;0;http://www.nouripour.de/;0
Nowak;Helmut;CDU;http://leverkusen.com/nowak/;;Helmut Nowak;Q15813794;https://www.wikidata.org/wiki/Q15813794;Helmut Nowak;0;http://leverkusen.com/nowak/;0
Nüßlein;Georg;CSU;http://www.georgnuesslein.de;;Georg Nüßlein;Q1505506;https://www.wikidata.org/wiki/Q1505506;Georg Nüßlein;0;http://www.georgnuesslein.de;0
Obermeier;Julia;CSU;http://www.julia-obermeier.de;1;Julia Obermeier;Q15123316;https://www.wikidata.org/wiki/Q15123316;Julia Obermeier;0;http://www.julia-obermeier.de/;0
Oellers;Wilfried;CDU;http://www.wilfried-oellers.de;;Wilfried Oellers;Q15813191;https://www.wikidata.org/wiki/Q15813191;Wilfried Oellers;0;http://www.wilfried-oellers.de/;0
Oppermann;Thomas;SPD;http://www.thomasoppermann.de;1;Thomas Oppermann;Q90833;https://www.wikidata.org/wiki/Q90833;Thomas Oppermann;0;http://www.thomasoppermann.de/;0
Oßner;Florian;CSU;http://www.ossner-florian.de;1;Florian Oßner;Q14943430;https://www.wikidata.org/wiki/Q14943430;Florian Oßner;0;http://www.ossner-florian.de/;0
Ostendorff;Friedrich;GRÜNE;http://www.f-ostendorff.de;;Friedrich Ostendorff;Q1461384;https://www.wikidata.org/wiki/Q1461384;Friedrich Ostendorff;0;http://www.f-ostendorff.de/;0
Ostermann;Tim;CDU;http://www.timostermann.de;;Tim Ostermann;Q15434487;https://www.wikidata.org/wiki/Q15434487;Tim Ostermann;0;http://www.timostermann.de/;0
Otte;Henning;CDU;http://www.henning-otte.de;1;Henning Otte;Q98819;https://www.wikidata.org/wiki/Q98819;Henning Otte;0;http://www.henning-otte.de/;0
Özdemir;Mahmut;SPD;http://www.mahmutoezdemir.de;1;Mahmut Özdemir;Q15648956;https://www.wikidata.org/wiki/Q15648956;Mahmut Özdemir;0;http://www.mahmutoezdemir.de;0
Özdemir;Cem;GRÜNE;http://www.oezdemir.de;1;Cem Özdemir;Q12839;https://www.wikidata.org/wiki/Q12839;Cem Özdemir;0;http://www.oezdemir.de/;0
Özoğuz;Aydan;SPD;http://oezoguz.de;1;Aydan Özoğuz;Q792859;https://www.wikidata.org/wiki/Q792859;Aydan Özoğuz;0;http://oezoguz.de;0
Pahlmann;Ingrid;CDU;http://www.ingrid-pahlmann.de;1;Ingrid Pahlmann;Q15813788;https://www.wikidata.org/wiki/Q15813788;Ingrid Pahlmann;0;http://www.ingrid-pahlmann.de/;0
Pantel;Sylvia;CDU;http://sylvia-pantel.de;1;Sylvia Pantel;Q15813200;https://www.wikidata.org/wiki/Q15813200;Sylvia Pantel;0;http://sylvia-pantel.de/;0
Paschke;Markus;SPD;http://www.markus-paschke.de;1;Markus Paschke;Q14945677;https://www.wikidata.org/wiki/Q14945677;Markus Paschke;0;http://www.markus-paschke.de/;0
Patzelt;Martin;CDU;http://www.martin-patzelt.de;;Martin Patzelt;Q118115;https://www.wikidata.org/wiki/Q118115;Martin Patzelt;0;http://www.martin-patzelt.de/;0
Pätzold;Martin;CDU;http://www.martinpaetzold.de;1;Martin Pätzold;Q15434478;https://www.wikidata.org/wiki/Q15434478;Martin Pätzold;0;http://www.martinpaetzold.de/;0
Pau;Petra;DIE LINKE;http://www.petrapau.de;;Petra Pau;Q77195;https://www.wikidata.org/wiki/Q77195;Petra Pau;0;http://www.petrapau.de/;0
Paus;Lisa;GRÜNE;http://lisa-paus.de;;Lisa Paus;Q1827771;https://www.wikidata.org/wiki/Q1827771;Lisa Paus;0;http://lisa-paus.de/;0
Petry;Christian;SPD;http://christianpetry.de;1;Christian Petry;Q15794238;https://www.wikidata.org/wiki/Q15794238;Christian Petry;0;http://christianpetry.de;0
Petzold;Harald;DIE LINKE;http://www.harald-petzold.de;1;Harald Petzold;Q1584668;https://www.wikidata.org/wiki/Q1584668;Harald Petzold;0;http://www.harald-petzold.de/;0
Petzold;Ulrich;CDU;https://www.cducsu.de/abgeordnete/ulrich-petzold;;Ulrich Petzold;Q1564054;https://www.wikidata.org/wiki/Q1564054;Ulrich Petzold;0;http://www.ulrichpetzold.de/;27
Pfeiffer;Joachim;CDU;http://www.joachim-pfeiffer.info;;Joachim Pfeiffer;Q103666;https://www.wikidata.org/wiki/Q103666;Joachim Pfeiffer;0;http://www.joachim-pfeiffer.info/;0
Pfeiffer;Sibylle;CDU;http://www.sibylle-pfeiffer.de;1;Sibylle Pfeiffer;Q1476425;https://www.wikidata.org/wiki/Q1476425;Sibylle Pfeiffer;0;http://www.sibylle-pfeiffer.de;0
Pflugradt;Jeannine;SPD;http://jeannine-pflugradt.de;1;Jeannine Pflugradt;Q15813171;https://www.wikidata.org/wiki/Q15813171;Jeannine Pflugradt;0;http://jeannine-pflugradt.de;0
Pilger;Detlev;SPD;http://www.detlevpilger.de;1;Detlev Pilger;Q15092002;https://www.wikidata.org/wiki/Q15092002;Detlev Pilger;0;http://www.detlevpilger.de/;0
Pitterle;Richard;DIE LINKE;http://www.richard-pitterle.de;;Richard Pitterle;Q2150384;https://www.wikidata.org/wiki/Q2150384;Richard Pitterle;0;http://www.pitterle.die-linke-bw.de/;15
Pols;Eckhard;CDU;http://www.pols-cdu.de;;Eckhard Pols;Q1281759;https://www.wikidata.org/wiki/Q1281759;Eckhard Pols;0;http://www.pols-cdu.de/;0
Poschmann;Sabine;SPD;http://www.sabine-poschmann.de;;Sabine Poschmann;Q15813116;https://www.wikidata.org/wiki/Q15813116;Sabine Poschmann;0;http://www.sabine-poschmann.de/;0
Poß;Joachim;SPD;http://www.joachim-poss.de;;Joachim Poß;Q104422;https://www.wikidata.org/wiki/Q104422;Joachim Poß;0;http://www.joachim-poss.de/;0
Post;Achim;SPD;http://www.achim-post.de;1;Achim Post;Q340448;https://www.wikidata.org/wiki/Q340448;Achim Post;0;http://www.achim-post.de/;0
Post;Florian;SPD;http://florian-post.de;1;Florian Post;Q15091968;https://www.wikidata.org/wiki/Q15091968;Florian Post;0;http://florian-post.de/;0
Pothmer;Brigitte;GRÜNE;http://www.pothmer.de;;Brigitte Pothmer;Q916571;https://www.wikidata.org/wiki/Q916571;Brigitte Pothmer;0;http://www.pothmer.de/;0
Priesmeier;Wilhelm;SPD;http://www.wilhelm-priesmeier.de;1;Wilhelm Priesmeier;Q2574533;https://www.wikidata.org/wiki/Q2574533;Wilhelm Priesmeier;0;http://www.wilhelm-priesmeier.de/;0
Pronold;Florian;SPD;https://florianpronold.de;1;Florian Pronold;Q100797;https://www.wikidata.org/wiki/Q100797;Florian Pronold;0;https://florianpronold.de/;0
Raabe;Sascha;SPD;http://www.sascha-raabe.de;1;Sascha Raabe;Q1791033;https://www.wikidata.org/wiki/Q1791033;Sascha Raabe;0;http://www.sascha-raabe.de/;0
Raatz;Simone;SPD;http://www.simone-raatz.de;1;Simone Raatz;Q2288151;https://www.wikidata.org/wiki/Q2288151;Simone Raatz;0;http://www.simone-raatz.de/;0
Rabanus;Martin;SPD;http://www.martin-rabanus.de;;Martin Rabanus;Q15041845;https://www.wikidata.org/wiki/Q15041845;Martin Rabanus;0;http://www.martin-rabanus.de/;0
Rachel;Thomas;CDU;http://www.thomas-rachel.de;1;Thomas Rachel;Q2426649;https://www.wikidata.org/wiki/Q2426649;Thomas Rachel;0;http://www.thomas-rachel.de/;0
Radomski;Kerstin;CDU;http://www.kerstinradomski.net;1;Kerstin Radomski;Q15813779;https://www.wikidata.org/wiki/Q15813779;Kerstin Radomski;0;http://www.kerstinradomski.net/;0
Radwan;Alexander;CSU;http://www.alexander-radwan.de;;Alexander Radwan;Q78198;https://www.wikidata.org/wiki/Q78198;Alexander Radwan;0;http://www.alexander-radwan.de/;0
Rainer;Alois;CSU;https://alois-rainer.jimdo.com;1;Alois Rainer;Q15434505;https://www.wikidata.org/wiki/Q15434505;Alois Rainer;0;https://alois-rainer.jimdo.com;0
Ramsauer;Peter;CSU;http://www.peter-ramsauer.de;;Peter Ramsauer;Q64525;https://www.wikidata.org/wiki/Q64525;Peter Ramsauer;0;http://www.peter-ramsauer.de/;0
Rawert;Mechthild;SPD;http://www.mechthild-rawert.de;;Mechthild Rawert;Q1632608;https://www.wikidata.org/wiki/Q1632608;Mechthild Rawert;0;http://www.mechthild-rawert.de/;0
Rebmann;Stefan;SPD;http://www.stefan-rebmann.de;1;Stefan Rebmann;Q2337377;https://www.wikidata.org/wiki/Q2337377;Stefan Rebmann;0;http://www.stefan-rebmann.de/;0
Rehberg;Eckhardt;CDU;http://www.eckhardt-rehberg.de;1;Eckhardt Rehberg;Q1281818;https://www.wikidata.org/wiki/Q1281818;Eckhardt Rehberg;0;http://www.eckhardt-rehberg.de/;0
Reichenbach;Gerold;SPD;http://gerold-reichenbach.de;;Gerold Reichenbach;Q1514588;https://www.wikidata.org/wiki/Q1514588;Gerold Reichenbach;0;http://gerold-reichenbach.de/;0
Reimann;Carola;SPD;http://www.carola-reimann.de;1;Carola Reimann;Q1044255;https://www.wikidata.org/wiki/Q1044255;Carola Reimann;0;http://www.carola-reimann.de/;0
